MONTH,AIRLINE,CANCELLATION_REASON,percentage
All,AA,Airline/Carrier,0.006001600426780475
All,AA,National Air System,1.3336889837289943e-4
All,AA,Weather,0.008535609495865563
All,AS,Airline/Carrier,0.002331002331002331
All,DL,Airline/Carrier,5.574413442299844e-4
All,DL,National Air System,1.6922326521267382e-4
All,DL,Weather,0.003479031246578206
All,EV,Airline/Carrier,0.0034848229950251147
All,EV,National Air System,5.767982888317431e-4
All,EV,Weather,0.006849479679876949
All,F9,Airline/Carrier,0.0031182537778843846
All,F9,Weather,0.0014391940513312545
All,MQ,Airline/Carrier,0.029343629343629343
All,MQ,National Air System,0.029343629343629343
All,MQ,Weather,0.029343629343629343
All,NK,Airline/Carrier,0.004533524218563589
All,NK,National Air System,0.0023860653781913625
All,NK,Weather,0.006442376521116679
All,OO,Airline/Carrier,0.008156606851549755
All,OO,National Air System,0.0032626427406199023
All,OO,Weather,0.021207177814029365
All,UA,Airline/Carrier,0.011160058737151249
All,UA,National Air System,0.0014684287812041115
All,UA,Weather,0.013509544787077827
All,US,Airline/Carrier,0.004083021435862538
All,US,National Air System,6.805035726437564e-4
All,US,Weather,0.011568560734943858
All,WN,Airline/Carrier,0.004341534008683068
All,WN,National Air System,6.601162820219869e-4
All,WN,Weather,0.007845228120953614
1,AA,Weather,0.0025188916876574307
1,DL,Airline/Carrier,5.951672419950006e-5
1,DL,Weather,0.0046423044875610045
1,EV,Airline/Carrier,0.0013164823591363876
1,EV,National Air System,2.632964718272775e-4
1,EV,Weather,0.006055818852027383
1,F9,Airline/Carrier,0.018518518518518517
1,MQ,Airline/Carrier,0.022556390977443608
1,MQ,Weather,0.08270676691729323
1,NK,Weather,0.008064516129032258
1,OO,Airline/Carrier,0.009009009009009009
1,OO,National Air System,0.009009009009009009
1,OO,Weather,0.04504504504504504
1,UA,Airline/Carrier,0.0136986301369863
1,UA,Weather,0.0547945205479452
1,US,Airline/Carrier,0.007797270955165692
1,US,Weather,0.017543859649122806
1,WN,Airline/Carrier,0.007958287596048299
1,WN,Weather,0.009879253567508232
2,AA,Weather,0.05307262569832402
2,DL,Airline/Carrier,1.8963337547408344e-4
2,DL,National Air System,6.321112515802781e-5
2,DL,Weather,0.028002528445006322
2,EV,Airline/Carrier,0.019331083154341823
2,EV,National Air System,0.004295796256520405
2,EV,Weather,0.02332003682111077
2,F9,Weather,0.0072992700729927005
2,MQ,Airline/Carrier,0.058823529411764705
2,MQ,National Air System,0.0392156862745098
2,MQ,Weather,0.058823529411764705
2,NK,Weather,0.026785714285714284
2,OO,Airline/Carrier,0.012987012987012988
2,OO,Weather,0.025974025974025976
2,UA,Airline/Carrier,0.01762114537444934
2,UA,Weather,0.06167400881057269
2,US,Airline/Carrier,0.010775862068965518
2,US,National Air System,0.004310344827586207
2,US,Weather,0.036637931034482756
2,WN,Airline/Carrier,0.006394640682095006
2,WN,National Air System,3.045066991473812e-4
2,WN,Weather,0.03654080389768575
3,AA,Airline/Carrier,0.010141987829614604
3,AA,Weather,0.02434077079107505
3,DL,Airline/Carrier,5.2443885043003985e-5
3,DL,National Air System,5.768827354730438e-4
3,DL,Weather,0.002779525907279211
3,EV,Airline/Carrier,0.006324495256628557
