AIRLINE,MONTH,rank,DELAY_TYPE,DELAY
AA,Jan,9,DEPARTURE_DELAY,9.059572288274948
AA,Feb,9,DEPARTURE_DELAY,8.623542787427892
AA,Mar,4,DEPARTURE_DELAY,11.069171907682794
AA,Apr,9,DEPARTURE_DELAY,5.518217029409687
AA,May,9,DEPARTURE_DELAY,8.060980236189527
AA,Jun,9,DEPARTURE_DELAY,9.666002196135379
AA,Jul,9,DEPARTURE_DELAY,7.787650221605538
AA,Aug,10,DEPARTURE_DELAY,6.792661241997217
AA,Sep,9,DEPARTURE_DELAY,1.7841125047413584
AA,Nov,9,DEPARTURE_DELAY,4.572291399409568
AA,Dec,9,DEPARTURE_DELAY,7.075148701112799
AS,Jan,6,DEPARTURE_DELAY,10.76923076923077
AS,Feb,11,DEPARTURE_DELAY,2.111111111111111
AS,Mar,10,DEPARTURE_DELAY,3.65
AS,Apr,10,DEPARTURE_DELAY,4.909090909090909
AS,May,7,DEPARTURE_DELAY,13.363636363636363
AS,Jun,11,DEPARTURE_DELAY,7.063257182416061
AS,Jul,10,DEPARTURE_DELAY,6
AS,Aug,4,DEPARTURE_DELAY,14.485714285714286
AS,Sep,10,DEPARTURE_DELAY,0.9387755102040817
AS,Nov,10,DEPARTURE_DELAY,0.34782608695652173
AS,Dec,8,DEPARTURE_DELAY,10.365853658536585
DL,Jan,10,DEPARTURE_DELAY,5.284733801857826
DL,Feb,7,DEPARTURE_DELAY,9.163776554577531
DL,Mar,9,DEPARTURE_DELAY,7.067871406487145
DL,Apr,8,DEPARTURE_DELAY,6.598175703432161
DL,May,8,DEPARTURE_DELAY,8.6394800013458255
DL,Jun,7,DEPARTURE_DELAY,13.135799994151688
DL,Jul,8,DEPARTURE_DELAY,9.140983795517434
DL,Aug,9,DEPARTURE_DELAY,8.562199211311855
DL,Sep,7,DEPARTURE_DELAY,3.494431772440628
DL,Nov,8,DEPARTURE_DELAY,4.684069252449335
DL,Dec,7,DEPARTURE_DELAY,10.539958771712238
EV,Jan,8,DEPARTURE_DELAY,9.350692910419154
EV,Feb,6,DEPARTURE_DELAY,10.572990855190914
EV,Mar,5,DEPARTURE_DELAY,10.57451188180239
EV,Apr,7,DEPARTURE_DELAY,7.144614008777627
EV,May,10,DEPARTURE_DELAY,7.665078974717059
EV,Jun,8,DEPARTURE_DELAY,12.39412297425945
EV,Jul,7,DEPARTURE_DELAY,9.566449667511064
EV,Aug,7,DEPARTURE_DELAY,10.378160669864585
EV,Sep,4,DEPARTURE_DELAY,5.966038853702011
EV,Nov,5,DEPARTURE_DELAY,8.895106039525444
EV,Dec,6,DEPARTURE_DELAY,14.011230732075322
F9,Jan,2,DEPARTURE_DELAY,24.15908843942711
F9,Feb,1,DEPARTURE_DELAY,43.86131770807849
F9,Mar,1,DEPARTURE_DELAY,35.814207650273225
F9,Apr,1,DEPARTURE_DELAY,23.415499661780782
F9,May,4,DEPARTURE_DELAY,17.7455364343586
F9,Jun,3,DEPARTURE_DELAY,27.784026785168898
F9,Jul,2,DEPARTURE_DELAY,25.834586466165412
F9,Aug,5,DEPARTURE_DELAY,14.346367022356205
F9,Sep,2,DEPARTURE_DELAY,13.407228915662651
F9,Nov,1,DEPARTURE_DELAY,26.14426229508197
F9,Dec,4,DEPARTURE_DELAY,20.949489035332945
MQ,Jan,1,DEPARTURE_DELAY,29.081124184916884
MQ,Feb,2,DEPARTURE_DELAY,20.45678141885018
MQ,Mar,2,DEPARTURE_DELAY,18.034300462972006
MQ,Apr,2,DEPARTURE_DELAY,17.26208158039144
MQ,May,3,DEPARTURE_DELAY,22.270239619535396
MQ,Jun,5,DEPARTURE_DELAY,21.288111648615097
MQ,Jul,5,DEPARTURE_DELAY,15.232936947527863
MQ,Aug,6,DEPARTURE_DELAY,11.348219169477312
MQ,Sep,6,DEPARTURE_DELAY,4.186431086519114
MQ,Nov,2,DEPARTURE_DELAY,20.45299067130053
NK,Jan,4,DEPARTURE_DELAY,12.669350521792511
NK,Feb,5,DEPARTURE_DELAY,13.417202141900937
NK,Mar,6,DEPARTURE_DELAY,10.000255555555556
NK,Apr,3,DEPARTURE_DELAY,16.95408163265306
NK,May,1,DEPARTURE_DELAY,30.581715764532404
NK,Jun,1,DEPARTURE_DELAY,45.485873324355744
NK,Jul,1,DEPARTURE_DELAY,27.329399431017976
NK,Aug,1,DEPARTURE_DELAY,29.689364639249504
NK,Sep,1,DEPARTURE_DELAY,27.60605699253696
NK,Nov,3,DEPARTURE_DELAY,14.653575770576369
NK,Dec,2,DEPARTURE_DELAY,25.272019572346675
OO,Jan,3,DEPARTURE_DELAY,19.88784684703052
OO,Feb,3,DEPARTURE_DELAY,17.313899689746027
OO,Mar,8,DEPARTURE_DELAY,8.216533787962359
OO,Apr,6,DEPARTURE_DELAY,8.002179638543275
OO,May,6,DEPARTURE_DELAY,14.019186737279021
OO,Jun,2,DEPARTURE_DELAY,42.4383473669188
OO,Jul,6,DEPARTURE_DELAY,10.963546389164005
OO,Aug,8,DEPARTURE_DELAY,8.8137518152567
OO,Sep,8,DEPARTURE_DELAY,3.4696969696969697
OO,Nov,6,DEPARTURE_DELAY,8.254784779556816
OO,Dec,3,DEPARTURE_DELAY,21.29371958306298
UA,Jan,7,DEPARTURE_DELAY,10.72193505382556
UA,Feb,4,DEPARTURE_DELAY,16.570551849432395
UA,Mar,7,DEPARTURE_DELAY,9.438968383579162
UA,Apr,4,DEPARTURE_DELAY,15.417971085518255
UA,May,2,DEPARTURE_DELAY,26.14439301832919
UA,Jun,4,DEPARTURE_DELAY,26.95084880984581
UA,Jul,3,DEPARTURE_DELAY,20.903336164582093
